titles,details
Volkswagen Caddy Nfz Kasten BMT,Unfallfrei • EZ 01/2018 • 181.628 km • 55 kW (75 PS) • Diesel
BMW 216d Active Tourer Navi*Temp*Anhängerk*Einpark*,EZ 07/2016 • 172.066 km • 85 kW (116 PS) • Diesel
Volkswagen Beetle Lim. Cup Navi Klimaautomatik Tempo PDC,EZ 07/2014 • 159.658 km • 77 kW (105 PS) • Benzin
Renault Kangoo Rapid Maxi 1hd Klima PDC Scheckheftgepf,EZ 02/2018 • 152.646 km • 81 kW (110 PS) • Diesel
Mercedes-Benz B 180 CDI,EZ 12/2013 • 150.519 km • 80 kW (109 PS) • Diesel
Volkswagen Golf Plus VI Match 2.0 TDI,Unfallfrei • EZ 05/2012 • 156.970 km • 103 kW (140 PS) • Diesel
BMW 116d Advantage*5TÜRIG*KLIMA*MFL*EURO6*TEMPOMAT!,Unfallfrei • EZ 12/2017 • 170.000 km • 85 kW (116 PS) • Diesel
BMW 318i F31 Touring 2.Hand*Klimaaut*Navi*,EZ 08/2016 • 178.623 km • 100 kW (136 PS) • Benzin
Audi A3 Sportback attraction/NAVI/STANDHEIZUNG/PDC/XE,Unfallfrei • EZ 04/2015 • 166.431 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VI Variant Match * Service NEU * Scheckheft,EZ 06/2012 • 150.000 km • 63 kW (86 PS) • Benzin
Volkswagen Passat Variant Highline BlueMotion,EZ 04/2014 • 159.600 km • 118 kW (160 PS) • Benzin
Audi A3 Limousine ambition 1.4TFSI EU6,Unfallfrei • EZ 01/2014 • 156.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf Plus LIFE+AUTOMATIK+NAVI+SCHIEBEDACH+PDC,Unfallfrei • EZ 12/2013 • 159.200 km • 90 kW (122 PS) • Benzin
"Volkswagen Caddy 2.0TDI,Klima,Scheckheft VW",Unfallfrei • EZ 10/2017 • 168.000 km • 75 kW (102 PS) • Diesel
"Volkswagen Caddy Kasten/Kombi Erdgas EcoFuel CNG,Klima,Ahk",Unfallfrei • EZ 06/2014 • 159.294 km • 80 kW (109 PS) • Benzin
BMW 1 Lim. 3-trg. 116i Bluetooth PDC Allwetter,Unfallfrei • EZ 12/2013 • 159.000 km • 100 kW (136 PS) • Benzin
BMW 1 116i,Unfallfrei • EZ 08/2014 • 156.000 km • 100 kW (136 PS) • Benzin
Volkswagen Golf VII Lim. Trendline BMT 1.2,EZ 09/2013 • 159.880 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VI Cabriolet GTI,EZ 03/2013 • 165.000 km • 155 kW (211 PS) • Benzin
BMW 320i/1.Hand/PDC/Klimaautomatik,Unfallfrei • EZ 12/2013 • 158.200 km • 135 kW (184 PS) • Benzin
Audi A4 Avant Attraction Euro6 2Hand Klima El Fenster,EZ 10/2013 • 156.000 km • 165 kW (224 PS) • Benzin
Volkswagen Tiguan Trend & Fun BMT,EZ 12/2013 • 159.850 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VI 1.4 TSI Match DSG Klima SHZ Tempomat,EZ 07/2012 • 168.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BlueTDI*360°-PDC*,Unfallfrei • EZ 02/2014 • 167.000 km • 81 kW (110 PS) • Diesel
"Volkswagen Polo V Comfortline 1.4 TDI NAVI/SHZ/18""/Top!",Unfallfrei • EZ 06/2015 • 160.528 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII Variant Cup BMT 1.6 TDI AHK NAVI KLIMA,EZ 06/2014 • 166.000 km • 77 kW (105 PS) • Diesel
BMW 216d Active Tourer Advantage/NAVI/KLIMA/SHZ/PDC/,EZ 02/2015 • 159.956 km • 85 kW (116 PS) • Diesel
Volkswagen Polo V Match Inklusive,Unfallfrei • EZ 10/2012 • 153.000 km • 51 kW (69 PS) • Benzin
Hyundai i30 cw Select,Unfallfrei • EZ 12/2018 • 168.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VII Lim. Comfortline BMT,Unfallfrei • EZ 06/2013 • 162.000 km • 77 kW (105 PS) • Benzin
BMW 116 Baureihe 1 Lim. 5-trg. 116i,Unfallfrei • EZ 04/2014 • 158.500 km • 100 kW (136 PS) • Benzin
Audi A3 1.6 TDI S tronic S line S line,Unfallfrei • EZ 02/2015 • 159.000 km • 81 kW (110 PS) • Diesel
Volkswagen Polo 1.2 TSI Style PANO TEMPOMAT SITZHEIZUNG PDC,Unfallfrei • EZ 05/2012 • 150.000 km • 51 kW (69 PS) • Benzin
BMW 116 Baureihe 1 Lim. 5-trg. 116i,Unfallfrei • EZ 06/2014 • 164.751 km • 100 kW (136 PS) • Benzin
Opel Zafira C Tourer Edition,Unfallfrei • EZ 06/2016 • 155.275 km • 103 kW (140 PS) • Benzin
Volkswagen Polo V Lounge BMT/Start-Stopp,EZ 10/2015 • 159.700 km • 66 kW (90 PS) • Diesel
"Volkswagen Golf VII Lim. Trendline BMT""Klima""Garantie",EZ 11/2013 • 162.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Lim. Trendline BMT/3-Hand/Eu6,Unfallfrei • EZ 11/2015 • 172.000 km • 81 kW (110 PS) • Diesel
Hyundai Kona Pure 2WD,EZ 06/2018 • 150.000 km • 88 kW (120 PS) • Benzin
Volkswagen Tiguan Sport & Style BMT*1.HAND*Sitzheiz.*Parkpi,EZ 03/2014 • 167.000 km • 90 kW (122 PS) • Benzin
Mitsubishi Space Star Top AUTOMATIK MOTOR erst 47 t km 81PS,Unfallfrei • EZ 11/2015 • 175.418 km • Benzin
Volkswagen Golf VII Lim. Comfortline BMT,EZ 03/2014 • 171.832 km • 77 kW (105 PS) • Diesel
Volkswagen Passat VARIANT HIGHLINE BT PANO + KAMERA + LEDER,Unfallfrei • EZ 07/2013 • 153.000 km • 130 kW (177 PS) • Diesel
Volkswagen Polo 1.4 TDI 66kW ALLSTAR ALLSTAR,Unfallfrei • EZ 10/2016 • 165.600 km • 66 kW (90 PS) • Diesel
Volkswagen Passat*Variant*Trend*Com-Media*Klima*Sitzh*Tempo,EZ 05/2016 • 165.000 km • 88 kW (120 PS) • Diesel
Volkswagen Golf VII Lim. Comfortline BMT LED Standheizung,Unfallfrei • EZ 10/2014 • 175.000 km • 90 kW (122 PS) • Benzin
Ford Focus Turnier Cool & Connect ab 69€ mtl finanz.,Unfallfrei • EZ 02/2020 • 176.480 km • 88 kW (120 PS) • Diesel
Volkswagen Jetta VI Comfortline,EZ 03/2013 • 150.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Lim. Highline BMT,Unfallfrei • EZ 02/2014 • 170.011 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VII Lim. Cup BMT*Pano*SHZ*Tempo,EZ 05/2014 • 177.777 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII 1.2 TSI Comfortline BMT SHZ PDC NAVI,EZ 12/2013 • 170.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VI Variant Match/NAVI/SHZ/KLIMAAUTO/TÜVNEU,Unfallfrei • EZ 03/2013 • 157.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf Var. 1.6 TDI Comf. Navi PDC Shz,EZ 10/2019 • 182.966 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Plus VI 1.2 TSI Match *TEILLEDER*SITZHZ*1HD,EZ 02/2013 • 150.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VI Style Sitzheizung*2-Zonen*Navi*TÜV Neu*,Unfallfrei • EZ 02/2012 • 158.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT,Unfallfrei • EZ 04/2013 • 164.245 km • 77 kW (105 PS) • Diesel
Volkswagen Golf Plus VI Comfortline-Automatik-Euro5-Hu:Neu-,EZ 08/2011 • 153.000 km • 77 kW (105 PS) • Diesel
"Volkswagen Tiguan 1.4TSI Trend&Fun 92KW,EURO6,TÜV 05/2025",Unfallfrei • EZ 12/2015 • 175.766 km • 92 kW (125 PS) • Benzin
"Volkswagen Golf Variant 1.2 TSI Highline 2e besitzer,Navi,C",EZ 01/2016 • 183.242 km • 81 kW (110 PS) • Benzin
Opel Insignia 2.0 CDTI ST INNOVATION EURO 6 LED RFK,Unfallfrei • EZ 03/2017 • 150.000 km • 125 kW (170 PS) • Diesel
Mercedes-Benz Citan 111 CDI Tourer EDITION Klima Sitzh. Kamera,Unfallfrei • EZ 05/2017 • 174.600 km • 81 kW (110 PS) • Diesel
Audi A1 Sportback S-line edition,Unfallfrei • EZ 07/2014 • 161.035 km • 63 kW (86 PS) • Benzin
Volkswagen Golf Plus Life 1.4TSI AUTOMATIC,Unfallfrei • EZ 06/2013 • 154.999 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Variant Trendline BMT*Navi*Klima*SHZ*AH,EZ 06/2016 • 180.000 km • 81 kW (110 PS) • Benzin
Volkswagen Golf 1.2 TSI,EZ 07/2012 • 156.041 km • 77 kW (105 PS) • Benzin
BMW 116d f20 gepflegt 2l Heck 8fach ber.,Unfallfrei • EZ 02/2015 • 159.400 km • 85 kW (116 PS) • Diesel
BMW 316d Touring Advantage Navi -Pdc-Led,EZ 09/2016 • 165.000 km • 85 kW (116 PS) • Diesel
"Volkswagen Caddy 1,6TDI 1HAND KLIMA LEDER 5Sitzer AHK SHEFT",EZ 11/2014 • 159.000 km • 55 kW (75 PS) • Diesel
Volkswagen Golf VII Lim. Highline BMT,EZ 05/2015 • 176.000 km • 90 kW (122 PS) • Benzin
Volkswagen Beetle Lim. Sport-KLIMA-PDC-ALU-TOP!!!,Unfallfrei • EZ 01/2013 • 150.000 km • 118 kW (160 PS) • Benzin
Volkswagen Tiguan Sport & Style 4Motion,Unfallfrei • EZ 05/2012 • 151.450 km • 132 kW (179 PS) • Benzin
Volkswagen Golf Sportsvan VII Comfortline BMT/Start-Stopp,Unfallfrei • EZ 04/2015 • 181.000 km • 63 kW (86 PS) • Benzin
Volkswagen Polo V Trendline Start-Stopp*2.HAND*NAVI*EURO6*,EZ 04/2016 • 165.000 km • 55 kW (75 PS) • Diesel
Volkswagen Golf VI Cabriolet 1.2 105 PS HU neu Klima S/W,EZ 07/2012 • 155.252 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Lim. Cup BMT,Unfallfrei • EZ 08/2014 • 173.951 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Lim. Trendline BMT,EZ 05/2014 • 166.967 km • 63 kW (86 PS) • Benzin
BMW 220D Active Tourer +Verkauf nur an Wiederverkäuf,EZ 10/2015 • 157.093 km • 140 kW (190 PS) • Diesel
Ford C-Max Titanium 1.5 EcoBoost Standheizung,EZ 04/2017 • 150.000 km • 110 kW (150 PS) • Benzin
Mercedes-Benz B 200 Bi-Xenon*Navi*Tempomat*Rückfahrk*,EZ 12/2011 • 156.428 km • 115 kW (156 PS) • Benzin
Volkswagen Beetle Cabriolet Design Leder Navi,EZ 02/2013 • 156.000 km • 77 kW (105 PS) • Benzin
BMW X1 Baureihe X1 sDrive 16d,Unfallfrei • EZ 09/2014 • 158.000 km • 85 kW (116 PS) • Diesel
Volkswagen Touran 7-Sitzer Automatik Klimaaut 160tkm TÜVneu,EZ 05/2014 • 160.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Variant Lounge BMT Navi 8 Fach bereift,EZ 11/2015 • 189.000 km • 110 kW (150 PS) • Diesel
Volkswagen Golf Plus VI Life,Unfallfrei • EZ 01/2014 • 160.958 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Variant Comfortline BMT Business-Paket,Unfallfrei • EZ 08/2015 • 175.000 km • 81 kW (110 PS) • Diesel
Audi A4 Avant Tempomat AHK Klimaaut. PDC,EZ 12/2014 • 162.733 km • 110 kW (150 PS) • Diesel
"Volkswagen Golf VI Variant Match,Automatik,Erst 155tkm",EZ 06/2013 • 155.400 km • 77 kW (105 PS) • Diesel
Volkswagen Golf GTI,Unfallfrei • EZ 06/2012 • 170.000 km • 155 kW (211 PS) • Benzin
Volkswagen Golf VI Style|Klimaautomatik|Tüv Neu,EZ 08/2011 • 150.000 km • 77 kW (105 PS) • Benzin
Volkswagen Polo V Trendline BMT/Start-Stopp,Unfallfrei • EZ 03/2015 • 159.934 km • 44 kW (60 PS) • Benzin
Audi A4 1.8 TFSI * TOP SOWIE 1 A ZUSTAND*,EZ 11/2012 • 150.000 km • 125 kW (170 PS) • Benzin
Volkswagen Touran Match Metallic *7SITZER*TÜV 09/2025*,EZ 09/2012 • 151.000 km • 77 kW (105 PS) • Benzin
Volkswagen Polo V Lounge BMT/Start-StoppTüv neu auf Kundenw,Unfallfrei • EZ 05/2015 • 162.000 km • 66 kW (90 PS) • Benzin
Volkswagen Golf VII Variant Trendline BMT/Start-Stopp,Unfallfrei • EZ 05/2018 • 183.110 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Sportsvan 1.2 TSI Comfortline BMT NAVI,EZ 12/2014 • 167.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf 7 1.6 TDI DSG BMT 7.546€ NETTOPREIS,Unfallfrei • EZ 07/2015 • 174.890 km • 81 kW (110 PS) • Diesel
Mercedes-Benz Citan*109 CDI*lang*5 Sitzer*Klima*AHK,EZ 01/2016 • 169.700 km • 66 kW (90 PS) • Diesel
Volkswagen Caddy Nfz Kasten BMT,Unfallfrei • EZ 10/2017 • 174.000 km • 75 kW (102 PS) • Diesel
Ford C-Max Cool&Connect*1-HAND*TEMPOMAT*NAVI !!,EZ 01/2019 • 150.000 km • 74 kW (101 PS) • Benzin
Volkswagen Polo VI Comfortline 1.HAND/SCHECKHEFT/KLIMA,EZ 02/2019 • 175.000 km • 59 kW (80 PS) • Diesel
BMW 118 Baureihe 1/sportline/118i/Navi/Autom./PDC,EZ 07/2013 • 159.755 km • 125 kW (170 PS) • Benzin
Volkswagen Golf VII 2.0 TDI Variant Comfortline -1.HAND -,EZ 05/2016 • 182.000 km • 110 kW (150 PS) • Diesel
BMW 114 Baureihe 1 Lim. 5-trg. 114i*TÜV-NEU*,Unfallfrei • EZ 07/2013 • 152.000 km • 75 kW (102 PS) • Benzin
"Volkswagen Golf 2,0 TDI 4MOTION MATCH PLUS AHK SHZ",EZ 08/2012 • 158.710 km • 103 kW (140 PS) • Diesel
Volkswagen Golf VII Variant Comfortline BMT+NAVI+SITZHEIZUN,Unfallfrei • EZ 11/2014 • 167.000 km • 77 kW (105 PS) • Diesel
BMW 116i Advantage,EZ 11/2016 • 178.000 km • 80 kW (109 PS) • Benzin
Honda Civic Lim. 5-trg. 1.8 Sport/AUT,Unfallfrei • EZ 05/2012 • 151.000 km • 104 kW (141 PS) • Benzin
Skoda Fabia 1.0 TSI Style *Navi - CarPlay/Front-Assist,Unfallfrei • EZ 06/2018 • 158.948 km • 70 kW (95 PS) • Benzin
Mercedes-Benz E 200 E -Klasse Coupe E 200 CGI BlueEfficiency,Unfallfrei • EZ 07/2012 • 155.000 km • 135 kW (184 PS) • Benzin
Volkswagen Golf VII Lim. Cup BMT *SHZ*PDC*KLIMA*R-LINE*,Unfallfrei • EZ 06/2014 • 184.316 km • 90 kW (122 PS) • Benzin
"Volkswagen Caddy 2.0 TDI Kombi EcoProfi, 1. Hd, Klima, Temp",Unfallfrei • EZ 11/2018 • 173.335 km • 55 kW (75 PS) • Diesel
Opel Antara Cosmo 4x4*NAVI*XENON*SHZ*19ZOLL*EURO5*,EZ 09/2015 • 150.000 km • 135 kW (184 PS) • Diesel
BMW 116 116d Advantage,Unfallfrei • EZ 09/2015 • 166.071 km • 85 kW (116 PS) • Diesel
Mercedes-Benz B 180 BlueEfficiency*NAVI*SHZ*AHK*PDC*,EZ 11/2012 • 152.427 km • 90 kW (122 PS) • Benzin
Volkswagen Golf 1.6 TDI BMT*NAVI*KLIMA*SHZ*PDC*TÜV NEU*,EZ 07/2013 • 163.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Lim. Comfortline BMT Scheckheft,Unfallfrei • EZ 06/2013 • 167.000 km • 90 kW (122 PS) • Benzin
"Audi A1 attraction 1,4/Navi/Klima/Xenon",EZ 05/2014 • 151.200 km • 90 kW (122 PS) • Benzin
MINI One One First,Unfallfrei • EZ 10/2017 • 152.000 km • 55 kW (75 PS) • Benzin
Volkswagen up! take up! 1.HAND,EZ 12/2014 • 153.000 km • 44 kW (60 PS) • Benzin
Audi A3 1.4 TFSI Sportback Xenon#PDC#Tempomat#Sitzhei,EZ 11/2014 • 178.425 km • 92 kW (125 PS) • Benzin
Volkswagen Touran 1.2 TSI Trendline,Unfallfrei • EZ 01/2015 • 163.063 km • 77 kW (105 PS) • Benzin
Kia cee'd Sportswagon Automatik Navi Kamera SHZ,Unfallfrei • EZ 10/2016 • 150.000 km • 99 kW (135 PS) • Benzin
Volkswagen Golf VII 7 1.2 TSI Sportsvan Gerne Finanzierung,Unfallfrei • EZ 05/2014 • 170.000 km • 81 kW (110 PS) • Benzin
BMW 116 Baureihe 1 Lim. 5-trg. 116i/2. Hand/Euro 6,EZ 08/2016 • 179.037 km • 80 kW (109 PS) • Benzin
Volkswagen Polo 1.4 TSI GTI AUTOM PANORAM+NAV+TEMP+SHZ,Unfallfrei • EZ 04/2011 • 153.139 km • 132 kW (179 PS) • Benzin
Volkswagen up! club up! - TÜV 05/2025 - Benzin,EZ 06/2016 • 160.000 km • 44 kW (60 PS) • Benzin
Peugeot 308 SW 1.2 PureTech Allure Aut. Pano Navi 1/2 S,Unfallfrei • EZ 05/2020 • 150.126 km • 96 kW (131 PS) • Benzin
Volkswagen Passat Variant Comfortline BlueMotion,Unfallfrei • EZ 09/2013 • 161.390 km • 90 kW (122 PS) • Benzin
Mercedes-Benz Citan Kasten 108 CDI lang*RADIO*1.Hand*,EZ 10/2015 • 159.860 km • 55 kW (75 PS) • Diesel
BMW 218i Active Tourer,Unfallfrei • EZ 08/2016 • 175.000 km • 100 kW (136 PS) • Benzin
Volkswagen Polo V Lounge BMT/PanoramaDach-Klimatronic,Unfallfrei • EZ 10/2015 • 168.000 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII 1.2 TSI BMT Trendline Trendline,Unfallfrei • EZ 01/2015 • 176.000 km • 81 kW (110 PS) • Benzin
"Volkswagen Touran Comfortline BMT, 7Sitzer!.",Unfallfrei • EZ 04/2014 • 161.000 km • 77 kW (105 PS) • Diesel
Volkswagen Caddy Kasten 1.6 TDI +AHK,Unfallfrei • EZ 02/2014 • 163.500 km • 55 kW (75 PS) • Diesel
Volkswagen Golf 6 Cabriolet Basis Xenon/Navi/Leder/Tempomat,EZ 01/2012 • 156.110 km • 90 kW (122 PS) • Benzin
Volkswagen Golf Sportsvan VII Comfortline BMT/Start-Stopp,Unfallfrei • EZ 10/2014 • 177.620 km • 92 kW (125 PS) • Benzin
Seat Leon ST 1.4 TFSI /APPLE CARPLAY /NAVI/BLUETOOTH,Unfallfrei • EZ 09/2016 • 150.000 km • 110 kW (150 PS) • Benzin
Audi A3 ambition Bi- Xenon Navi Klima SHZG MFL PDC,EZ 06/2012 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf Sportsvan VII Sound,EZ 05/2017 • 175.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VI 1.2 TSI Navi PDC 5-türig HU 8/25,EZ 05/2012 • 156.000 km • 77 kW (105 PS) • Benzin
Volkswagen Beetle 1.6 TDI Lim. Design Maggiolino//TÜV NEU//,Unfallfrei • EZ 04/2014 • 158.000 km • 77 kW (105 PS) • Diesel
Citroën C4 Picasso/Spacetourer Spur+El.Heck+Aut+Kam+Nav,Unfallfrei • EZ 08/2016 • 152.413 km • 88 kW (120 PS) • Diesel
Mercedes-Benz B 200 B -Klasse*1.HAND*LEDER*SERVICE NUR BEI MB!,Unfallfrei • EZ 05/2012 • 160.000 km • 115 kW (156 PS) • Benzin
Volkswagen Passat 2.0 TDI Comfortline Navi/Leder/Xenon,EZ 11/2012 • 150.900 km • 103 kW (140 PS) • Diesel
Volkswagen Golf VII *NAVI*PDC*TÜV NEU*,EZ 08/2016 • 184.413 km • 81 kW (110 PS) • Diesel
Opel Astra K Lim. 5-trg. Dynamic Navi SHZ LHZ 6-Gang,Unfallfrei • EZ 10/2016 • 150.589 km • 92 kW (125 PS) • Benzin
Volkswagen Polo V Comfortline BMT/Start-Stopp*Euro 6*PDC*,Unfallfrei • EZ 05/2015 • 156.400 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII Lim. Comfortline BMT TÜV 04/2026,Unfallfrei • EZ 04/2013 • 170.370 km • 63 kW (86 PS) • Benzin
Audi A3 1.2 TSI Attraction *Klimaanlage*Tüv Neu*,EZ 10/2014 • 165.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VI 1.4 TSI Highline*HU neu*Alcantara beige*,Unfallfrei • EZ 06/2011 • 150.000 km • 90 kW (122 PS) • Benzin
"Volkswagen Golf VII Variant Trendline 1,6TDI",Unfallfrei • EZ 04/2018 • 186.000 km • 85 kW (116 PS) • Diesel
"Volkswagen Golf Plus,,Auto,Klima,sehr Sauber",Unfallfrei • EZ 04/2013 • 154.000 km • 77 kW (105 PS) • Benzin
BMW X1 xDrive 20i/Sehr gepflegt/Xenon/Temp./Klima/AU,Unfallfrei • EZ 04/2012 • 150.000 km • 135 kW (184 PS) • Benzin
BMW X1 sDrive18d -,Unfallfrei • EZ 01/2015 • 166.500 km • 105 kW (143 PS) • Diesel
Volkswagen Golf VII Lim. ALU.PARKTR.,EZ 11/2013 • 169.000 km • 63 kW (86 PS) • Benzin
Volkswagen Touran 1.6 TDI DPF LIFE BMT.*MFL*SHZ*AHK*PDC+***,EZ 09/2013 • 159.069 km • 77 kW (105 PS) • Diesel
Opel Astra K Sports Tourer Edition Start/Stop 1.4T,Unfallfrei • EZ 11/2018 • 150.000 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VII Lim. BMT 5-TÜRER PDC KLIMAAUT SHZ,EZ 04/2014 • 168.000 km • 63 kW (86 PS) • Benzin
Mercedes-Benz Citan Kombi 111 CDI lang,EZ 03/2016 • 172.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Lim. Cup BMT 1.6 TDI,Unfallfrei • EZ 12/2014 • 173.428 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VI Comfortline,EZ 01/2012 • 152.277 km • 90 kW (122 PS) • Benzin
Volkswagen Golf Sportsvan VII BMT *Navi*PDC*AHK*Sitzheizung,EZ 06/2017 • 186.402 km • 81 kW (110 PS) • Benzin
"Audi A4 Avant 2.0TDI,TÜV-AU NEU,Euro 5,Erst 155tkm",EZ 10/2013 • 155.900 km • 110 kW (150 PS) • Diesel
Mercedes-Benz Citan Kombi 111 CDI lang Klima Sitzheizung,Unfallfrei • EZ 11/2017 • 175.000 km • 81 kW (110 PS) • Diesel
BMW 328i 245PS Touring NR 43963,Unfallfrei • EZ 10/2014 • 176.000 km • 180 kW (245 PS) • Benzin
Opel Mokka 1.4 Color Edition AHK|TEMP|KLIMA|PDC|SHZ,Unfallfrei • EZ 09/2015 • 153.741 km • 103 kW (140 PS) • Benzin
Ford Transit Courier Basis TÜV NEU Garantie,Unfallfrei • EZ 06/2018 • 150.000 km • 74 kW (101 PS) • Benzin
Volkswagen Polo 1.0 TSI Comfortline Klima*Navi*SHZ*Kamera,EZ 05/2019 • 189.496 km • 70 kW (95 PS) • Benzin
Mercedes-Benz C 180 C -Klasse Lim. Avantgarde/AHK/PDC/LED/ASR,Unfallfrei • EZ 05/2012 • 150.000 km • 115 kW (156 PS) • Benzin
Volkswagen Tiguan Trend & Fun BMT *1.Hand* AHK,Unfallfrei • EZ 10/2012 • 160.700 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy Kasten/Kombi EcoProfi KLIMA/AHK/TechnikTOP,Unfallfrei • EZ 09/2012 • 150.000 km • 63 kW (86 PS) • Benzin
Volkswagen Tiguan Sport & Style BMT 1.4 Nr. 59,EZ 02/2012 • 155.000 km • 118 kW (160 PS) • Benzin
Volkswagen T5 Transporter 2.0 TDI Kasten-Kombi Kasten lang,EZ 04/2015 • 178.000 km • 84 kW (114 PS) • Diesel
Skoda Fabia Combi Clever 1.0 TSI*ACC*DAB*1.Hand*Navi,EZ 09/2018 • 160.000 km • 70 kW (95 PS) • Benzin
Volkswagen Beetle Lim. Design*2.HAND*KLIMA*NAVI*TEMPO*PDC*,EZ 12/2012 • 160.000 km • 77 kW (105 PS) • Benzin
Volkswagen Polo V DSG Highline BMT *Navi*Tempo*PDC*Navi*SHZ,Unfallfrei • EZ 09/2016 • 179.999 km • 81 kW (110 PS) • Benzin
Volkswagen Golf 2.0 TDI Comfortline Variant,Unfallfrei • EZ 03/2018 • 190.000 km • 110 kW (150 PS) • Diesel
Volkswagen Tiguan Sport & Style 4M 2.0 TSI Leder+AHK+Navi,Unfallfrei • EZ 10/2012 • 160.500 km • 132 kW (179 PS) • Benzin
Volkswagen up! load up!*2.HAND*KLIMA*LKW*EURO6*,EZ 02/2016 • 160.000 km • 44 kW (60 PS) • Benzin
Volkswagen Golf VII Lim.BMT/1.6Tdi/Navi Gr./Pdc V+H/Abstand,EZ 03/2017 • 187.000 km • 85 kW (116 PS) • Diesel
Mercedes-Benz B 180 CDI Avantgarde-LED-Navi-Sitzheiz-Facelift,Unfallfrei • EZ 10/2014 • 162.000 km • 80 kW (109 PS) • Diesel
Citroën Grand C4 Picasso/Spacetourer Selection 7 Sitzer,EZ 06/2019 • 150.000 km • 121 kW (165 PS) • Benzin
Volkswagen Golf VI Plus Style,Unfallfrei • EZ 05/2012 • 155.000 km • 77 kW (105 PS) • Benzin
Ford Focus Lim. Sport,EZ 09/2017 • 152.600 km • 134 kW (182 PS) • Benzin
Volkswagen Tiguan BMT 1.Hand/AHK/Sitzheizung/PDC/,EZ 02/2012 • 150.000 km • 90 kW (122 PS) • Benzin
Renault Megane Limited Grandtour/Navi/Einparkh./AHK,Unfallfrei • EZ 11/2018 • 156.225 km • 96 kW (131 PS) • Diesel
Volkswagen Polo V Comfortline BMT/Start-Stopp,EZ 12/2015 • 165.000 km • 66 kW (90 PS) • Diesel
Renault Clio 1.2 Limited /Klima/Alu/Sound/2.Hand,Unfallfrei • EZ 10/2016 • 154.970 km • 87 kW (118 PS) • Benzin
Volkswagen Touran Match *SHZ*PDC*Schiebedach*Navi*7-Sitze*,EZ 06/2012 • 153.000 km • 77 kW (105 PS) • Benzin
Volkswagen Passat Variant Comfortline BlueMotion/AUTOMATIK,EZ 05/2013 • 158.685 km • 90 kW (122 PS) • Benzin
Volkswagen Passat Variant 1.4 16V TSI Comfortline Sport Bi-,EZ 02/2013 • 156.623 km • 118 kW (160 PS) • Benzin
Volkswagen Golf Plus VI Match *Klima*SHZ*Tempomat,EZ 02/2013 • 158.267 km • 103 kW (140 PS) • Diesel
Volkswagen Golf VII Variant Cup BMT,Unfallfrei • EZ 10/2014 • 170.000 km • 81 kW (110 PS) • Diesel
Volkswagen Tiguan 1.4 TSI 90 BlueMot Tec CUP Sport & St...,Unfallfrei • EZ 10/2015 • 180.000 km • 90 kW (122 PS) • Benzin
Volkswagen Beetle 2.0 TDI Club/LM/Navi/Tempomat/Bluetooth,EZ 05/2015 • 168.150 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Variant Comfortline BMT,EZ 11/2014 • 167.000 km • 77 kW (105 PS) • Diesel
Dacia Dokker Express TCe 115,EZ 12/2017 • 157.000 km • 85 kW (116 PS) • Benzin
Mercedes-Benz B 180 CDI DCT,EZ 03/2013 • 155.000 km • 80 kW (109 PS) • Diesel
"Volkswagen Golf VII Variant LEDER,Gehobene Ausstattung!!!",Unfallfrei • EZ 08/2013 • 169.300 km • 90 kW (122 PS) • Benzin
